user_id,order_id,product_category,order_value,order_time,delivery_duration,payment_type,is_returned
user_1,order_1,home,134.83,2024-01-01,2,COD,0
user_2,order_2,electronics,702.67,2024-01-02,7,credit_card,0
user_3,order_3,fashion,519.12,2024-01-03,2,e-wallet,0
user_4,order_4,cosmetics,418.27,2024-01-04,6,e-wallet,1
user_5,order_5,fashion,651.08,2024-01-05,3,COD,0
user_6,order_6,cosmetics,718.66,2024-01-06,4,credit_card,0
user_7,order_7,fashion,54.15,2024-01-07,8,credit_card,0
user_8,order_8,home,208.61,2024-01-08,3,credit_card,0
user_9,order_9,books,727.39,2024-01-09,6,COD,0
user_10,order_10,books,683.07,2024-01-10,1,credit_card,0
user_11,order_11,electronics,967.75,2024-01-11,7,e-wallet,0
user_12,order_12,cosmetics,772.99,2024-01-12,8,credit_card,0
user_13,order_13,cosmetics,953.23,2024-01-13,8,COD,0
user_14,order_14,cosmetics,717.41,2024-01-14,3,credit_card,1
user_15,order_15,home,333.15,2024-01-15,1,credit_card,1
user_16,order_16,cosmetics,150.1,2024-01-16,9,e-wallet,0
user_17,order_17,books,792.73,2024-01-17,6,credit_card,0
user_18,order_18,home,661.94,2024-01-18,9,e-wallet,1
user_19,order_19,fashion,95.78,2024-01-19,7,e-wallet,1
user_20,order_20,cosmetics,392.05,2024-01-20,1,COD,0
user_21,order_21,cosmetics,958.96,2024-01-21,1,e-wallet,0
user_22,order_22,fashion,525.38,2024-01-22,6,e-wallet,0
user_23,order_23,cosmetics,461.09,2024-01-23,5,COD,0
user_24,order_24,fashion,484.81,2024-01-24,9,e-wallet,0
user_25,order_25,home,248.44,2024-01-25,2,COD,0
user_26,order_26,books,400.27,2024-01-26,8,credit_card,0
user_27,order_27,fashion,401.32,2024-01-27,5,COD,0
user_28,order_28,electronics,99.74,2024-01-28,2,e-wallet,0
user_29,order_29,fashion,779.19,2024-01-29,6,COD,0
user_30,order_30,cosmetics,445.68,2024-01-30,8,e-wallet,0
user_31,order_31,home,831.07,2024-01-31,4,credit_card,0
user_32,order_32,home,857.83,2024-02-01,2,COD,0
user_33,order_33,fashion,251.39,2024-02-02,5,credit_card,1
user_34,order_34,books,674.49,2024-02-03,2,e-wallet,0
user_35,order_35,electronics,498.67,2024-02-04,2,e-wallet,0
user_36,order_36,home,886.15,2024-02-05,6,credit_card,0
user_37,order_37,cosmetics,254.95,2024-02-06,9,COD,0
user_38,order_38,cosmetics,693.92,2024-02-07,4,COD,1
user_39,order_39,books,627.36,2024-02-08,6,e-wallet,0
user_40,order_40,home,330.54,2024-02-09,7,credit_card,0
user_41,order_41,fashion,179.77,2024-02-10,6,credit_card,0
user_42,order_42,cosmetics,669.06,2024-02-11,8,COD,0
user_43,order_43,books,751.67,2024-02-12,4,COD,1
user_44,order_44,home,349.85,2024-02-13,1,COD,1
user_45,order_45,home,662.59,2024-02-14,7,credit_card,0
user_46,order_46,home,425.37,2024-02-15,3,COD,0
user_47,order_47,home,727.55,2024-02-16,6,COD,1
user_48,order_48,home,239.25,2024-02-17,2,e-wallet,1
user_49,order_49,cosmetics,895.7,2024-02-18,9,COD,0
user_50,order_50,books,323.04,2024-02-19,1,COD,0
user_51,order_51,home,399.4,2024-02-20,6,credit_card,0
user_52,order_52,electronics,105.19,2024-02-21,6,credit_card,1
user_53,order_53,electronics,155.94,2024-02-22,5,e-wallet,0
user_54,order_54,books,540.07,2024-02-23,5,COD,0
user_55,order_55,fashion,304.21,2024-02-24,1,e-wallet,0
user_56,order_56,fashion,843.71,2024-02-25,5,credit_card,0
user_57,order_57,fashion,63.96,2024-02-26,2,e-wallet,0
user_58,order_58,electronics,410.14,2024-02-27,7,credit_card,0
user_59,order_59,fashion,370.48,2024-02-28,3,e-wallet,0
user_60,order_60,cosmetics,68.36,2024-02-29,4,e-wallet,0
user_61,order_61,home,168.15,2024-03-01,3,COD,0
user_62,order_62,electronics,442.96,2024-03-02,3,e-wallet,0
user_63,order_63,books,518.22,2024-03-03,4,COD,0
user_64,order_64,books,434.08,2024-03-04,5,COD,1
user_65,order_65,home,554.39,2024-03-05,1,COD,0
user_66,order_66,electronics,615.38,2024-03-06,4,COD,0
user_67,order_67,fashion,59.43,2024-03-07,8,e-wallet,0
user_68,order_68,fashion,490.89,2024-03-08,7,credit_card,0
user_69,order_69,cosmetics,965.32,2024-03-09,9,credit_card,0
user_70,order_70,cosmetics,543.08,2024-03-10,5,credit_card,0
user_71,order_71,fashion,693.67,2024-03-11,4,e-wallet,0
user_72,order_72,books,346.27,2024-03-12,8,COD,0
user_73,order_73,books,785.29,2024-03-13,9,credit_card,0
user_74,order_74,cosmetics,784.28,2024-03-14,7,e-wallet,0
user_75,order_75,home,545.23,2024-03-15,7,COD,0
user_76,order_76,fashion,977.21,2024-03-16,5,credit_card,0
user_77,order_77,cosmetics,169.27,2024-03-17,4,COD,0
user_78,order_78,cosmetics,66.1,2024-03-18,1,credit_card,0
user_79,order_79,fashion,781.65,2024-03-19,7,credit_card,1
user_80,order_80,fashion,816.8,2024-03-20,1,credit_card,1
user_81,order_81,books,164.2,2024-03-21,1,COD,0
user_82,order_82,home,302.3,2024-03-22,5,e-wallet,0
user_83,order_83,home,66.67,2024-03-23,9,COD,0
user_84,order_84,fashion,328.64,2024-03-24,6,credit_card,0
user_85,order_85,electronics,784.48,2024-03-25,3,COD,0
user_86,order_86,cosmetics,542.06,2024-03-26,3,e-wallet,1
user_87,order_87,cosmetics,380.69,2024-03-27,7,COD,0
user_88,order_88,fashion,403.15,2024-03-28,6,e-wallet,1
user_89,order_89,electronics,51.29,2024-03-29,9,e-wallet,0
user_90,order_90,books,334.81,2024-03-30,6,COD,0
user_91,order_91,fashion,664.14,2024-03-31,5,credit_card,0
user_92,order_92,fashion,975.48,2024-04-01,7,e-wallet,0
user_93,order_93,cosmetics,854.71,2024-04-02,1,COD,0
user_94,order_94,fashion,72.42,2024-04-03,7,e-wallet,0
user_95,order_95,fashion,903.63,2024-04-04,3,credit_card,0
user_96,order_96,fashion,794.04,2024-04-05,9,COD,1
user_97,order_97,cosmetics,791.36,2024-04-06,6,COD,0
user_98,order_98,books,485.1,2024-04-07,9,COD,1
user_99,order_99,books,428.11,2024-04-08,5,credit_card,1
user_100,order_100,fashion,337.77,2024-04-09,7,e-wallet,0
user_101,order_101,cosmetics,112.41,2024-04-10,4,COD,0
user_102,order_102,books,266.82,2024-04-11,7,e-wallet,0
user_103,order_103,books,284.27,2024-04-12,1,e-wallet,1
user_104,order_104,books,509.87,2024-04-13,7,credit_card,0
user_105,order_105,cosmetics,760.07,2024-04-14,8,COD,0
user_106,order_106,cosmetics,500.12,2024-04-15,5,e-wallet,0
user_107,order_107,fashion,104.95,2024-04-16,2,COD,0
user_108,order_108,home,959.9,2024-04-17,5,COD,0
user_109,order_109,books,945.59,2024-04-18,6,credit_card,0
user_110,order_110,home,795.93,2024-04-19,2,COD,0
user_111,order_111,cosmetics,991.76,2024-04-20,6,COD,1
user_112,order_112,cosmetics,567.26,2024-04-21,6,e-wallet,0
user_113,order_113,cosmetics,964.63,2024-04-22,1,credit_card,1
user_114,order_114,home,121.82,2024-04-23,1,COD,0
user_115,order_115,cosmetics,397.4,2024-04-24,3,e-wallet,1
user_116,order_116,fashion,264.11,2024-04-25,3,credit_card,0
user_117,order_117,cosmetics,236.04,2024-04-26,4,credit_card,0
user_118,order_118,electronics,183.76,2024-04-27,2,e-wallet,0
user_119,order_119,home,641.29,2024-04-28,9,e-wallet,1
user_120,order_120,electronics,792.26,2024-04-29,7,e-wallet,0
user_121,order_121,cosmetics,599.38,2024-04-30,7,e-wallet,1
user_122,order_122,fashion,189.61,2024-05-01,6,e-wallet,1
user_123,order_123,books,820.57,2024-05-02,3,COD,0
user_124,order_124,cosmetics,654.16,2024-05-03,6,COD,0
user_125,order_125,fashion,418.76,2024-05-04,8,credit_card,0
user_126,order_126,home,690.42,2024-05-05,8,COD,0
user_127,order_127,electronics,296.91,2024-05-06,9,COD,1
user_128,order_128,electronics,377.93,2024-05-07,1,COD,0
user_129,order_129,electronics,921.61,2024-05-08,1,e-wallet,0
user_130,order_130,home,325.98,2024-05-09,3,credit_card,1
user_131,order_131,fashion,496.49,2024-05-10,3,credit_card,0
user_132,order_132,home,895.63,2024-05-11,8,credit_card,1
user_133,order_133,electronics,722.34,2024-05-12,1,credit_card,0
user_134,order_134,cosmetics,109.09,2024-05-13,2,COD,0
user_135,order_135,books,189.94,2024-05-14,2,COD,0
user_136,order_136,home,57.45,2024-05-15,3,e-wallet,0
user_137,order_137,home,649.38,2024-05-16,6,credit_card,0
user_138,order_138,fashion,475.29,2024-05-17,1,COD,0
user_139,order_139,fashion,177.56,2024-05-18,2,COD,0
