user_id,gender,age,location,buy_frequency,payment_method,satisfaction,return_reason
user_1,other,27,DN,weekly,credit_card,5,wrong_item
user_2,male,43,DN,rarely,COD,4,wrong_item
user_3,other,36,HCM,daily,COD,2,quality_issue
user_4,other,43,HCM,rarely,credit_card,2,late_delivery
user_5,male,49,HN,monthly,e-wallet,4,no_reason
user_6,male,18,Other,weekly,e-wallet,2,no_reason
user_7,other,41,HN,weekly,COD,5,wrong_item
user_8,female,22,HCM,weekly,COD,1,late_delivery
user_9,other,30,HN,daily,e-wallet,5,quality_issue
user_10,other,21,HCM,weekly,credit_card,5,late_delivery
user_11,other,33,HN,monthly,COD,2,size_issue
user_12,other,41,HCM,daily,COD,1,late_delivery
user_13,male,33,HCM,monthly,e-wallet,2,size_issue
user_14,other,40,HCM,rarely,credit_card,3,size_issue
user_15,female,19,Other,rarely,e-wallet,2,quality_issue
user_16,male,34,HN,rarely,credit_card,2,wrong_item
user_17,female,45,HN,rarely,credit_card,2,late_delivery
user_18,female,49,HN,monthly,credit_card,1,size_issue
user_19,female,49,HCM,daily,COD,2,late_delivery
user_20,female,44,HN,daily,e-wallet,1,wrong_item
user_21,male,37,HN,weekly,e-wallet,4,wrong_item
user_22,male,41,HCM,monthly,credit_card,3,no_reason
user_23,female,29,DN,rarely,COD,1,wrong_item
user_24,female,35,HCM,monthly,COD,4,quality_issue
user_25,male,20,HN,weekly,e-wallet,1,size_issue
user_26,male,45,HCM,weekly,COD,1,no_reason
user_27,male,18,DN,monthly,COD,3,quality_issue
user_28,other,18,HCM,monthly,credit_card,5,late_delivery
user_29,other,46,HN,monthly,COD,5,size_issue
user_30,other,36,DN,daily,credit_card,1,wrong_item
user_31,female,28,Other,rarely,e-wallet,2,size_issue
user_32,other,22,HN,monthly,COD,4,late_delivery
user_33,female,29,DN,monthly,e-wallet,2,no_reason
user_34,female,20,DN,monthly,e-wallet,2,no_reason
user_35,other,18,Other,weekly,COD,1,no_reason
user_36,female,18,HCM,weekly,COD,1,wrong_item
user_37,other,25,HCM,daily,e-wallet,1,quality_issue
user_38,other,27,HN,rarely,COD,1,quality_issue
user_39,male,28,Other,daily,credit_card,5,size_issue
user_40,other,29,HCM,rarely,credit_card,1,wrong_item
user_41,male,46,Other,weekly,COD,5,no_reason
user_42,other,30,HCM,weekly,e-wallet,5,no_reason
user_43,other,29,DN,weekly,COD,1,late_delivery
user_44,male,48,HCM,daily,COD,3,late_delivery
user_45,male,31,Other,monthly,e-wallet,4,no_reason
user_46,other,19,DN,monthly,e-wallet,2,no_reason
user_47,female,46,DN,weekly,credit_card,5,wrong_item
user_48,male,36,DN,monthly,e-wallet,4,quality_issue
user_49,female,35,Other,monthly,credit_card,3,late_delivery
user_50,female,20,HN,daily,e-wallet,2,quality_issue
user_51,female,40,HN,rarely,COD,2,wrong_item
user_52,male,34,HN,weekly,credit_card,5,no_reason
user_53,female,43,Other,weekly,credit_card,1,quality_issue
user_54,male,25,DN,daily,credit_card,3,no_reason
user_55,female,46,HN,daily,COD,5,no_reason
user_56,other,43,Other,monthly,COD,3,size_issue
user_57,other,27,HN,weekly,COD,1,quality_issue
user_58,male,43,HCM,rarely,COD,1,quality_issue
user_59,other,47,HN,daily,COD,5,no_reason
user_60,other,19,HN,rarely,credit_card,1,wrong_item
user_61,female,36,DN,rarely,COD,4,size_issue
user_62,male,26,Other,weekly,credit_card,2,no_reason
user_63,female,24,DN,weekly,COD,5,late_delivery
user_64,female,21,DN,daily,e-wallet,3,late_delivery
user_65,female,43,DN,weekly,credit_card,4,size_issue
user_66,female,38,DN,weekly,e-wallet,5,wrong_item
user_67,female,35,DN,weekly,credit_card,1,no_reason
user_68,female,30,HN,rarely,e-wallet,1,quality_issue
user_69,female,28,DN,daily,COD,1,size_issue
user_70,male,46,DN,monthly,COD,1,wrong_item
user_71,other,41,Other,rarely,COD,3,quality_issue
user_72,female,21,HCM,weekly,credit_card,4,late_delivery
user_73,female,42,HN,rarely,e-wallet,2,late_delivery
user_74,female,38,HN,weekly,COD,3,quality_issue
user_75,female,46,HN,weekly,e-wallet,3,size_issue
user_76,female,42,DN,rarely,e-wallet,2,late_delivery
user_77,female,21,DN,daily,COD,2,no_reason
user_78,other,27,DN,weekly,COD,1,quality_issue
user_79,other,22,Other,daily,e-wallet,3,quality_issue
user_80,female,26,HCM,monthly,COD,5,late_delivery
user_81,other,41,DN,weekly,COD,2,size_issue
user_82,male,49,HCM,daily,COD,2,no_reason
user_83,female,20,Other,daily,credit_card,4,size_issue
user_84,male,34,HN,monthly,e-wallet,5,wrong_item
user_85,male,20,DN,daily,e-wallet,5,wrong_item
user_86,female,33,HCM,daily,credit_card,2,late_delivery
